frame,deltaTime,actorX,cameraX,screenX,speed
66,0.008334,0.078344,-1.381469,1053.946000,5.000000
67,0.008334,0.120011,-1.340523,1053.992000,5.000000
68,0.008334,0.161680,-1.299555,1054.037000,5.000000
69,0.008334,0.203348,-1.258569,1054.081000,5.000000
70,0.008333,0.245013,-1.217567,1054.124000,5.000000
71,0.008333,0.286681,-1.176544,1054.165000,4.999999
72,0.008333,0.328348,-1.135505,1054.206000,4.999999
73,0.008334,0.370017,-1.094446,1054.245000,5.000000
74,0.008334,0.411685,-1.053372,1054.283000,5.000000
75,0.008333,0.453351,-1.012284,1054.320000,4.999999
76,0.008333,0.495018,-0.971179,1054.357000,5.000001
77,0.008334,0.536687,-0.930057,1054.392000,5.000003
78,0.008752,0.580447,-0.886836,1054.427000,4.999999
79,0.008333,0.622114,-0.845685,1054.460000,5.000002
80,0.008333,0.663782,-0.804521,1054.492000,4.999997
81,0.008334,0.705450,-0.763342,1054.524000,5.000003
82,0.008334,0.747118,-0.722149,1054.554000,5.000002
83,0.008333,0.788785,-0.680946,1054.584000,4.999998
84,0.008436,0.830964,-0.639218,1054.613000,4.999997
85,0.008333,0.872631,-0.597988,1054.641000,5.000000
86,0.008334,0.914301,-0.556745,1054.669000,4.999999
87,0.008333,0.955966,-0.515494,1054.695000,5.000000
88,0.008334,0.997635,-0.474228,1054.721000,5.000000
89,0.008334,1.039303,-0.432952,1054.747000,5.000005
90,0.008333,1.080968,-0.391669,1054.771000,4.999997
91,0.008333,1.122635,-0.350373,1054.795000,4.999997
92,0.008334,1.164305,-0.309065,1054.818000,4.999999
93,0.008333,1.205971,-0.267750,1054.841000,4.999998
94,0.008334,1.247639,-0.226422,1054.863000,4.999995
95,0.008333,1.289306,-0.185088,1054.884000,5.000002
96,0.008334,1.330973,-0.143744,1054.905000,4.999993
97,0.008782,1.374884,-0.100144,1054.925000,5.000000
98,0.008333,1.416551,-0.058782,1054.945000,5.000000
99,0.008334,1.458220,-0.017410,1054.964000,5.000000
100,0.008334,1.499887,0.023968,1054.982000,4.999993
101,0.008333,1.541554,0.065354,1055.000000,4.999997
102,0.008604,1.584576,0.108105,1055.018000,5.000004
103,0.008333,1.626242,0.149504,1055.035000,4.999993
104,0.008334,1.667910,0.190913,1055.052000,5.000005
105,0.008334,1.709578,0.232329,1055.068000,5.000005
106,0.008470,1.751927,0.274435,1055.084000,4.999999
107,0.008334,1.793596,0.315865,1055.099000,5.000007
108,0.008333,1.835259,0.357296,1055.114000,5.000004
109,0.008477,1.877646,0.399461,1055.128000,5.000000
110,0.008334,1.919315,0.440911,1055.142000,5.000005
111,0.008333,1.960980,0.482362,1055.156000,5.000002
112,0.008334,2.002651,0.523824,1055.169000,5.000008
113,0.008334,2.044319,0.565291,1055.182000,4.999995
114,0.008341,2.086021,0.606797,1055.195000,4.999998
115,0.008439,2.128217,0.648804,1055.207000,5.000004
116,0.008333,2.169884,0.690286,1055.219000,5.000000
117,0.008334,2.211552,0.731773,1055.231000,4.999991
118,0.008333,2.253219,0.773263,1055.242000,5.000002
119,0.008334,2.294888,0.814761,1055.253000,4.999986
