Key,Id,Shared Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,English(en),English(en) Comments
"编辑器中无法切换窗口模式与分辨率，请在独立运行版本中调整。",1366286370,"","编辑器中无法切换窗口模式与分辨率，请在独立运行版本中调整。","","Display mode and resolution can only be changed in the standalone game.",""
"集结 · 准备 · 出发",1366286371,"","集结 · 准备 · 出发","","ASSEMBLE · PREPARE · DEPART",""
"召集同伴，迎接下一场战斗。",1366286372,"","召集同伴，迎接下一场战斗。","","Gather your party for the next battle.",""
"连接中…",1366286373,"","连接中…","","Connecting…",""
"游戏",1366286374,"","游戏","","Play",""
"反馈意见",1366286375,"","反馈意见","","Feedback",""
"退出",1366286376,"","退出","","Quit",""
"同一场战斗 · 最多四位同伴",1366286377,"","同一场战斗 · 最多四位同伴","","One battle · Up to four players",""
"Steam 已连接 · 支持好友邀请",1366286378,"","Steam 已连接 · 支持好友邀请","","Steam connected · Friend invites available",""
"本地单人可用 · Steam 未连接",1366286379,"","本地单人可用 · Steam 未连接","","Local solo available · Steam disconnected",""
"Steam 连接失败，请返回后重试。",1366286380,"","Steam 连接失败，请返回后重试。","","Steam connection failed. Go back and try again.",""
"正在进入战场",1366286381,"","正在进入战场","","Entering the battlefield",""
"准备房间",1366286382,"","准备房间","","Preparation room",""
"好友房间",1366286383,"","好友房间","","Friends lobby",""
"本地单人",1366286384,"","本地单人","","Local solo",""
"{0}    {1} / 4",1366286385,"","{0}    {1} / 4","","{0}    {1} / 4",""
"    ·    大厅 {0}",1366286386,"","    ·    大厅 {0}","","    ·    Lobby {0}",""
"等待同伴",1366286387,"","等待同伴","","Waiting for a player",""
"邀请朋友",1366286388,"","邀请朋友","","Invite friends",""
" · 房主",1366286389,""," · 房主",""," · Host",""
" · 你",1366286390,""," · 你",""," · You",""
"加载完成",1366286391,"","加载完成","","Ready to play",""
"正在加载…",1366286392,"","正在加载…","","Loading…",""
"已准备",1366286393,"","已准备","","Ready",""
"未准备",1366286394,"","未准备","","Not ready",""
"本次远征",1366286395,"","本次远征","","This expedition",""
"地图",1366286396,"","地图","","Map",""
"遗迹边境",1366286397,"","遗迹边境","","Ruins Frontier",""
"踏入战场，与同伴一起迎战不断涌来的怪物。",1366286398,"","踏入战场，与同伴一起迎战不断涌来的怪物。","","Enter the battlefield and face waves of monsters with your companions.",""
"难度",1366286399,"","难度","","Difficulty",""
"中等",1366286400,"","中等","","Normal",""
"等待所有成员的角色和初始武器准备完成。",1366286401,"","等待所有成员的角色和初始武器准备完成。","","Waiting for every player and starting weapon to finish loading.",""
"选择初始武器并准备。多人全部准备后，由房主开始。",1366286402,"","选择初始武器并准备。多人全部准备后，由房主开始。","","Choose a starting weapon and ready up. The host starts when everyone is ready.",""
"取消开局",1366286403,"","取消开局","","Cancel start",""
"取消准备",1366286404,"","取消准备","","Unready",""
"准备",1366286405,"","准备","","Ready",""
"开始游戏",1366286406,"","开始游戏","","Start game",""
"等待房主开始",1366286407,"","等待房主开始","","Waiting for host",""
"选择初始武器",1366286408,"","选择初始武器","","Choose a starting weapon",""
"{0} · 当前唯一角色    /    修改选择会取消自己的准备",1366286409,"","{0} · 当前唯一角色    /    修改选择会取消自己的准备","","{0} · Available character    /    Changing your weapon cancels your ready status",""
"已选择",1366286410,"","已选择","","Selected",""
"选择",1366286411,"","选择","","Select",""
"返回房间",1366286412,"","返回房间","","Back to lobby",""
"释放近距离的灼热斩击。",1366286413,"","释放近距离的灼热斩击。","","Unleash a searing slash at close range.",""
"发射缓慢移动的火球。",1366286414,"","发射缓慢移动的火球。","","Launch slow-moving fireballs.",""
"喷出炽热的火焰。",1366286415,"","喷出炽热的火焰。","","Breathe a stream of scorching fire.",""
"生成两颗环绕角色旋转的法球。",1366286416,"","生成两颗环绕角色旋转的法球。","","Create two orbs that orbit your character.",""
"冲刺后留下持续燃烧的火焰路径。",1366286417,"","冲刺后留下持续燃烧的火焰路径。","","Leave a burning trail after dashing.",""
"召唤伙伴协助作战。",1366286418,"","召唤伙伴协助作战。","","Summon a companion to fight alongside you.",""
"斩",1366286419,"","斩","","S",""
"焰",1366286420,"","焰","","F",""
"息",1366286421,"","息","","B",""
"环",1366286422,"","环","","O",""
"径",1366286423,"","径","","T",""
"召",1366286424,"","召","","C",""
"邀请 Steam 好友",1366286425,"","邀请 Steam 好友","","Invite Steam friends",""
"大厅 {0}    ·    选择一位好友发送邀请，接受后加入准备房间。",1366286426,"","大厅 {0}    ·    选择一位好友发送邀请，接受后加入准备房间。","","Lobby {0}    ·    Invite a friend. Accepting the invite joins this preparation room.",""
"搜索好友名称…",1366286427,"","搜索好友名称…","","Search friends…",""
"刷新",1366286428,"","刷新","","Refresh",""
"Tab / ↑↓ 选择 · Enter 邀请 · Esc 返回",1366286429,"","Tab / ↑↓ 选择 · Enter 邀请 · Esc 返回","","Tab / ↑↓ Select · Enter Invite · Esc Back",""
"已提交 · {0} 秒",1366286430,"","已提交 · {0} 秒","","Submitted · {0}s",""
"再次邀请",1366286431,"","再次邀请","","Invite again",""
"已在大厅",1366286432,"","已在大厅","","Already in lobby",""
"已提交",1366286433,"","已提交","","Submitted",""
"邀请",1366286434,"","邀请","","Invite",""
"暂无可显示的 Steam 好友，请刷新重试。",1366286435,"","暂无可显示的 Steam 好友，请刷新重试。","","No Steam friends to display. Refresh to try again.",""
"没有找到匹配的好友。",1366286436,"","没有找到匹配的好友。","","No matching friends.",""
"显示 {0} / {1} 位好友 · 每 2 秒自动刷新",1366286437,"","显示 {0} / {1} 位好友 · 每 2 秒自动刷新","","Showing {0} / {1} friends · Refreshes every 2 seconds",""
"确定结束本局并返回首页？
其他玩家也会断开连接。",1366286438,"","确定结束本局并返回首页？
其他玩家也会断开连接。","","End this run and return to the main menu?
Other players will also be disconnected.",""
"确定结束本局并返回首页？",1366286439,"","确定结束本局并返回首页？","","End this run and return to the main menu?",""
"确定离开本局并返回首页？",1366286440,"","确定离开本局并返回首页？","","Leave this run and return to the main menu?",""
"正在退出…",1366286441,"","正在退出…","","Leaving…",""
"菜单 [Esc]",1366286442,"","菜单 [Esc]","","Menu [Esc]",""
"本局菜单",1366286443,"","本局菜单","","Run menu",""
"{0}    /    难度 · 中等",1366286444,"","{0}    /    难度 · 中等","","{0}    /    Difficulty · Normal",""
"继续游戏",1366286445,"","继续游戏","","Resume",""
"退出本局",1366286446,"","退出本局","","Leave run",""
"战斗仍在继续",1366286447,"","战斗仍在继续","","The battle continues",""
"角色仍可能受伤，自动攻击继续。",1366286448,"","角色仍可能受伤，自动攻击继续。","","You can still take damage. Automatic attacks continue.",""
"角色统计",1366286449,"","角色统计","","Character stats",""
"法术统计",1366286450,"","法术统计","","Spell stats",""
"Esc 返回    ·    方向键 / Tab 选择    ·    Enter 确认    ·    滚轮查看更多",1366286451,"","Esc 返回    ·    方向键 / Tab 选择    ·    Enter 确认    ·    滚轮查看更多","","Esc Back    ·    Arrows / Tab Select    ·    Enter Confirm    ·    Scroll for more",""
"离开本局",1366286452,"","离开本局","","Leave this run",""
"取消",1366286453,"","取消","","Cancel",""
"确认退出",1366286454,"","确认退出","","Confirm exit",""
"{0}    ·    当前属性",1366286455,"","{0}    ·    当前属性","","{0}    ·    Current stats",""
"生命    {0} / {1}       {2}",1366286456,"","生命    {0} / {1}       {2}","","Health    {0} / {1}       {2}",""
"存活 · Alive",1366286457,"","存活","","Alive",""
"倒地 · Downed",1366286458,"","倒地","","Downed",""
"生命    ",1366286459,"","生命    ","","Health    ",""
"等级    {0}       经验    {1} / {2}",1366286460,"","等级    {0}       经验    {1} / {2}","","Level    {0}       XP    {1} / {2}",""
"等级 / 经验    ",1366286461,"","等级 / 经验    ","","Level / XP    ",""
"移动速度    {0}",1366286462,"","移动速度    {0}","","Move speed    {0}",""
"固定减伤    {0}",1366286463,"","固定减伤    {0}","","Flat damage reduction    {0}",""
"拾取范围    {0}",1366286464,"","拾取范围    {0}","","Pickup range    {0}",""
"经验倍率    ×{0}",1366286465,"","经验倍率    ×{0}","","XP multiplier    ×{0}",""
"冲刺属性",1366286466,"","冲刺属性","","Dash stats",""
"距离    {0}       速度    {1}",1366286467,"","距离    {0}       速度    {1}","","Distance    {0}       Speed    {1}",""
"恢复间隔    {0} 秒",1366286468,"","恢复间隔    {0} 秒","","Recharge interval    {0}s",""
"角色 / 冲刺属性    ",1366286469,"","角色 / 冲刺属性    ","","Character / dash stats    ",""
"冲刺次数    ",1366286470,"","冲刺次数    ","","Dash charges    ",""
"槽位 {0}{1}
{2}",1366286471,"","槽位 {0}{1}
{2}","","Slot {0}{1}
{2}",""
" · 初始",1366286472,""," · 初始",""," · Starting",""
" · 初始武器",1366286473,""," · 初始武器",""," · Starting weapon",""
"当前属性",1366286474,"","当前属性","","Current stats",""
"伤害    {0}       攻速倍率    {1}",1366286475,"","伤害    {0}       攻速倍率    {1}","","Damage    {0}       Attack speed    {1}",""
"暴击率    {0}       暴击倍率    {1}",1366286476,"","暴击率    {0}       暴击倍率    {1}","","Critical chance    {0}       Critical multiplier    {1}",""
"使用冲刺次数",1366286477,"","使用冲刺次数","","Uses dash charges",""
"冷却剩余    {0} 秒",1366286478,"","冷却剩余    {0} 秒","","Cooldown remaining    {0}s",""
"武器装备",1366286479,"","武器装备","","Weapon equipment",""
"无装备",1366286480,"","无装备","","No equipment",""
"{0}    等级 {1}",1366286481,"","{0}    等级 {1}","","{0}    Level {1}",""
"数值随当前构筑变化；不包含目标条件和命中触发效果。",1366286482,"","数值随当前构筑变化；不包含目标条件和命中触发效果。","","Stats reflect your current build. Target conditions and on-hit effects are excluded.",""
"空槽位",1366286483,"","空槽位","","Empty slot",""
"组件未就绪",1366286484,"","组件未就绪","","Not available yet",""
"同步中",1366286485,"","同步中","","Synchronizing",""
"角色",1366286486,"","角色","","Character",""
"武器 #{0}",1366286487,"","武器 #{0}","","Weapon #{0}",""
"装备 #{0}",1366286488,"","装备 #{0}","","Equipment #{0}",""
"正在清理上一局游戏，请稍候。",1366286489,"","正在清理上一局游戏，请稍候。","","Cleaning up the previous run. Please wait.",""
"主菜单尚未就绪。",1366286490,"","主菜单尚未就绪。","","The main menu is not ready yet.",""
"房间正在加载，请稍后重连。",1366286491,"","房间正在加载，请稍后重连。","","The room is loading. Please reconnect shortly.",""
"战斗场景无法加载，本次开局已取消。",1366286492,"","战斗场景无法加载，本次开局已取消。","","The battle scene could not load. The start was cancelled.",""
"Steam 联机暂不可用，已进入本地单人房间。",1366286493,"","Steam 联机暂不可用，已进入本地单人房间。","","Steam multiplayer is unavailable. A local solo room was created.",""
"加载超过 120 秒，本次开局已取消。请重新创建房间。",1366286494,"","加载超过 120 秒，本次开局已取消。请重新创建房间。","","Loading timed out after 120 seconds. Please create a new room.",""
"有玩家在加载期间断开连接，本次开局已取消。",1366286495,"","有玩家在加载期间断开连接，本次开局已取消。","","A player disconnected while loading. The start was cancelled.",""
"房主已结束会话。",1366286496,"","房主已结束会话。","","The host ended the session.",""
"与房主的连接已断开，房主可能已结束会话。",1366286497,"","与房主的连接已断开，房主可能已结束会话。","","Disconnected from the host. The host may have ended the session.",""
"连接失败：{0}",1366286498,"","连接失败：{0}","","Connection failed: {0}",""
"离线",1366286499,"","离线","","Offline",""
"在线",1366286500,"","在线","","Online",""
"忙碌",1366286501,"","忙碌","","Busy",""
"离开",1366286502,"","离开","","Away",""
"休息",1366286503,"","休息","","Snooze",""
"想交易",1366286504,"","想交易","","Looking to trade",""
"想玩游戏",1366286505,"","想玩游戏","","Looking to play",""
"状态未知",1366286506,"","状态未知","","Unknown status",""
"Steam 尚未连接，请先登录 Steam 后重试。",1366286507,"","Steam 尚未连接，请先登录 Steam 后重试。","","Steam is not connected. Sign in to Steam and try again.",""
"大厅已变化，请返回当前房间重新打开好友列表。",1366286508,"","大厅已变化，请返回当前房间重新打开好友列表。","","The lobby changed. Return to the room and reopen the friends list.",""
"当前大厅已停止邀请，请返回房间查看状态。",1366286509,"","当前大厅已停止邀请，请返回房间查看状态。","","Invites are no longer available. Return to the room to check its status.",""
"正在离开或大厅信息无效，无法发送邀请。",1366286510,"","正在离开或大厅信息无效，无法发送邀请。","","Cannot invite while leaving or when the lobby is invalid.",""
"大厅已开始加载或关闭，无法发送邀请。",1366286511,"","大厅已开始加载或关闭，无法发送邀请。","","Cannot invite while the lobby is loading or closed.",""
"你已不在此 Steam 大厅中，请返回房间。",1366286512,"","你已不在此 Steam 大厅中，请返回房间。","","You are no longer in this Steam lobby. Return to the room.",""
"尚未取得大厅元数据，请刷新后重试。",1366286513,"","尚未取得大厅元数据，请刷新后重试。","","Lobby information is not ready. Refresh and try again.",""
"大厅人数已满，无法发送邀请。",1366286514,"","大厅人数已满，无法发送邀请。","","The lobby is full. No more invites can be sent.",""
"无法读取 Steam 好友或成员列表，请刷新后重试。",1366286515,"","无法读取 Steam 好友或成员列表，请刷新后重试。","","Could not read Steam friends or lobby members. Refresh and try again.",""
"对方已不是有效的 Steam 好友，请刷新好友列表。",1366286516,"","对方已不是有效的 Steam 好友，请刷新好友列表。","","This person is no longer an eligible Steam friend. Refresh the list.",""
"这位好友已在大厅中。",1366286517,"","这位好友已在大厅中。","","This friend is already in the lobby.",""
"邀请已提交，请等待 5 秒后再试。",1366286518,"","邀请已提交，请等待 5 秒后再试。","","Invite submitted. Wait 5 seconds before trying again.",""
"邀请已提交，等待好友接受",1366286519,"","邀请已提交，等待好友接受","","Invite submitted. Waiting for your friend to accept.",""
"Steam 未能提交邀请，请手动重试。",1366286520,"","Steam 未能提交邀请，请手动重试。","","Steam could not send the invite. Please try again.",""
"Steam 好友邀请失败，请手动重试。",1366286521,"","Steam 好友邀请失败，请手动重试。","","Steam friend invite failed. Please try again.",""
"已建立准备房间，可以选择武器并准备。",1366286522,"","已建立准备房间，可以选择武器并准备。","","Room created. Choose a weapon and ready up.",""
"正在加入好友的 Steam 大厅…",1366286523,"","正在加入好友的 Steam 大厅…","","Joining your friend's Steam lobby…",""
"已加入 Steam 大厅，正在连接房主…",1366286524,"","已加入 Steam 大厅，正在连接房主…","","Joined the Steam lobby. Connecting to the host…",""
"已连接房主，正在验证身份并同步准备房间…",1366286525,"","已连接房主，正在验证身份并同步准备房间…","","Connected to the host. Verifying identity and synchronizing the room…",""
"大厅人数已满（最多四人）。",1366286526,"","大厅人数已满（最多四人）。","","The lobby is full (maximum four players).",""
"游戏版本不兼容，请使用相同版本。",1366286527,"","游戏版本不兼容，请使用相同版本。","","Incompatible game versions. Both players must use the same version.",""
"房主已结束会话，请重新加入房间。",1366286528,"","房主已结束会话，请重新加入房间。","","The host ended the session. Please rejoin the room.",""
"邀请的大厅已关闭或尚未准备好，请让好友重新邀请。",1366286529,"","邀请的大厅已关闭或尚未准备好，请让好友重新邀请。","","The invited lobby is closed or not ready. Ask your friend for a new invite.",""
"Steam 大厅失败，请检查 Steam 连接后重试。",1366286530,"","Steam 大厅失败，请检查 Steam 连接后重试。","","Steam lobby failed. Check your Steam connection and try again.",""
"请先创建或加入准备房间，再邀请好友。",1366286531,"","请先创建或加入准备房间，再邀请好友。","","Create or join a preparation room before inviting friends.",""
"Unity 编辑器中的 Steam 叠加界面未激活。请在 Steam 启动的游戏中发送邀请。",1366286532,"","Unity 编辑器中的 Steam 叠加界面未激活。请在 Steam 启动的游戏中发送邀请。","","Steam Overlay is inactive in the Unity Editor. Send invites from the game launched through Steam.",""
"Steam 叠加界面未激活。请稍后重试；若持续不可用，请启用叠加界面并从 Steam 启动游戏。",1366286533,"","Steam 叠加界面未激活。请稍后重试；若持续不可用，请启用叠加界面并从 Steam 启动游戏。","","Steam Overlay is inactive. Try again shortly. If it remains unavailable, enable the overlay and launch the game through Steam.",""
"请先离开当前房间，再接受另一个大厅的邀请。",1366286534,"","请先离开当前房间，再接受另一个大厅的邀请。","","Leave the current room before accepting an invite to another lobby.",""
"Esc 继续    ·    方向键 / Tab 选择    ·    Enter 确认    ·    滚轮查看属性",2416110985216,"","Esc 继续    ·    方向键 / Tab 选择    ·    Enter 确认    ·    滚轮查看属性","","Esc Resume    ·    Arrows / Tab Select    ·    Enter Confirm    ·    Scroll for stats",""
"已进入准备房间，可以选择武器并准备。",2416148733952,"","已进入准备房间，可以选择武器并准备。","","Joined the preparation room. Choose a weapon and ready up.",""
"正在清理上一次游戏，请稍候。",2416148733953,"","正在清理上一次游戏，请稍候。","","Cleaning up the previous run. Please wait.",""
"房间尚未就绪。",2416148733954,"","房间尚未就绪。","","The room is not ready yet.",""
"游戏已经开始，仅允许本局成员重连。",2416148733955,"","游戏已经开始，仅允许本局成员重连。","","The run has started. Only existing players can reconnect.",""
"房间已满（最多四人）。",2416148733956,"","房间已满（最多四人）。","","The room is full (maximum four players).",""
"该角色或初始武器尚未开放。",2416148733957,"","该角色或初始武器尚未开放。","","This character or starting weapon is not available.",""
"选择已经更新，请确认当前配置后重新准备。",2416148733958,"","选择已经更新，请确认当前配置后重新准备。","","Your selection changed. Check your loadout and ready up again.",""
"只有房主可以开始游戏。",2416148733959,"","只有房主可以开始游戏。","","Only the host can start the game.",""
"房间信息已更新，请重新确认开始。",2416148733960,"","房间信息已更新，请重新确认开始。","","The room changed. Confirm the start again.",""
"等待所有玩家准备完成。",2416148733961,"","等待所有玩家准备完成。","","Waiting for all players to ready up.",""
"正在开局，无法修改配置。",2416148733962,"","正在开局，无法修改配置。","","The run is starting. The loadout cannot be changed.",""
"尚未加入房间。",2416148733963,"","尚未加入房间。","","You have not joined a room yet.",""
"Dante",8272814792704,"","但丁","","Dante",""
"DANTE",8272852541440,"","但丁","","DANTE",""
"游戏结束",113251252690944,"","游戏结束","","Game Over",""
"所有在线玩家均已倒地",113251294633984,"","所有在线玩家均已倒地","","All online players are down.",""
"正在清理战场，准备重新开始…",113251294633985,"","正在清理战场，准备重新开始…","","Clearing the battlefield. Restarting…",""
"正在返回准备房间…",113251294633986,"","正在返回准备房间…","","Returning to the preparation room…",""
"确定离开房间并返回首页？",113251294633987,"","确定离开房间并返回首页？","","Leave the room and return to the main menu?",""
"确认离开",113251294633988,"","确认离开","","Leave room",""
"回到大厅",113251294633989,"","回到大厅","","Return to Lobby",""
"重新开始",113251294633990,"","重新开始","","Restart",""
"保留队伍；重新开始将使用本局初始配置。",113251294633991,"","保留队伍；重新开始将使用本局初始配置。","","Your party stays together. Restart uses this run’s starting loadouts.",""
"等待房主选择下一步",113251294633992,"","等待房主选择下一步","","Waiting for the host",""
"离开房间",113251294633993,"","离开房间","","Leave Room",""
"正在处理…",113251294633994,"","正在处理…","","Please wait…",""
"清理超过 120 秒，请重新创建房间。",113251294633995,"","清理超过 120 秒，请重新创建房间。","","Cleanup timed out after 120 seconds. Please create a new room.",""
"只有房主可以选择下一步。",113251294633996,"","只有房主可以选择下一步。","","Only the host can choose the next action.",""
"本次操作已处理或当前阶段不可操作。",113251294633997,"","本次操作已处理或当前阶段不可操作。","","This action has already been handled or is unavailable.",""
"本局已结束。",113251294633998,"","本局已结束。","","This run has ended.",""
"换局失败，请重新创建房间。",119898259841024,"","换局失败，请重新创建房间。","","Could not start the next round. Please create a new room.",""
"本地联机 · 开发",135909377826816,"","本地联机 · 开发","","Local multiplayer · Development",""
"固定地址：127.0.0.1",135909423964160,"","固定地址：127.0.0.1","","Address: 127.0.0.1",""
"端口",135909423964161,"","端口","","Port",""
"其他进程使用相同端口加入。",135909423964162,"","其他进程使用相同端口加入。","","Use the same port in the other game windows.",""
"创建本地主机",135909423964163,"","创建本地主机","","Create local host",""
"加入本地主机",135909423964164,"","加入本地主机","","Join local host",""
"取消连接",135909423964165,"","取消连接","","Cancel connection",""
"正在清理连接…",135909423964166,"","正在清理连接…","","Cleaning up connection…",""
"正在创建本地主机…",135909423964167,"","正在创建本地主机…","","Creating local host…",""
"正在连接并同步房间…",135909423964168,"","正在连接并同步房间…","","Connecting and syncing room…",""
"无需 Steam 好友邀请",135909423964169,"","无需 Steam 好友邀请","","No Steam invitation needed",""
"在其他进程点击“加入本地主机”",135909423964170,"","在其他进程点击“加入本地主机”","","Choose Join local host in the other game windows.",""
"本地 KCP · 127.0.0.1:{0} · {1} / 4",135909423964171,"","本地 KCP · 127.0.0.1:{0} · {1} / 4","","Local KCP · 127.0.0.1:{0} · {1} / 4",""
"本地联机入口仅在开发环境可用。",135909423964172,"","本地联机入口仅在开发环境可用。","","Local multiplayer controls are only available in development builds.",""
"端口必须是 1 至 65535 的整数。",135909423964173,"","端口必须是 1 至 65535 的整数。","","Enter a port from 1 to 65535.",""
"已有连接操作或会话尚未清理，请稍候。",135909423964174,"","已有连接操作或会话尚未清理，请稍候。","","Wait for the current connection or session to finish.",""
"本地网络组件未就绪。",135909423964175,"","本地网络组件未就绪。","","Local networking is not ready.",""
"端口已被占用，请加入已有主机或更换端口。",135909423964176,"","端口已被占用，请加入已有主机或更换端口。","","This port is already in use. Join the existing host or choose another port.",""
"本地连接已断开，请重试。",135909423964177,"","本地连接已断开，请重试。","","The local connection closed. Please retry.",""
"本地连接超时，请确认主机已创建且端口一致。",135909423964178,"","本地连接超时，请确认主机已创建且端口一致。","","Connection timed out. Check that the host is running and the ports match.",""
"已取消本地连接。",135909423964179,"","已取消本地连接。","","Local connection canceled.",""
"本地连接已断开，请确认主机与端口。",135909423964180,"","本地连接已断开，请确认主机与端口。","","Local connection closed. Check the host and port.",""
"本地连接失败，请确认主机已创建且端口一致。",135909423964181,"","本地连接失败，请确认主机已创建且端口一致。","","Local connection failed. Check that the host is running and the ports match.",""
"ImageLocTest",343984013565952,"","00_0_Component_1","","00_0_Component_1",""
"STG_General",343984055508992,"","常规","","General",""
"STG_Audio",343984055508993,"","音频","","Audio",""
"STG_Graphics",343984055508994,"","图形","","Graphics",""
"STG_Controls",343984055508995,"","控制","","Controls",""
"STG_Accessibility",343984055508996,"","辅助功能","","Accessibility",""
"STG_Language",343984055508997,"","语言","","Language",""
"STG_Language_desc",343984055508998,"","选择你偏好的语言。","","Select your preferred language.",""
"STG_AutoAim",343984055508999,"","自动瞄准","","Auto Aim",""
"STG_AutoAim_desc",343984055509000,"","启用自动瞄准。","","Enables Auto Aim.",""
"STG_SkipUlti",343984055509001,"","跳过神术动画","","Skip Spell Animation",""
"STG_SkipUlti_desc",343984055509002,"","自动跳过所有神术动画。","","Automatically skips any Spell animation.",""
"STG_DamageNumbers",343984055509003,"","伤害数字","","Damage numbers",""
"STG_DamageNumbers_desc",343984055509004,"","切换在战斗中显示/隐藏伤害数字。","","Toggle damage number visibility in combat.",""
"STG_HealthBars",343984055509005,"","生命条","","Health Bars",""
"STG_HealthBars_desc",343984055509006,"","切换在战斗中显示/隐藏敌人生命条。","","Toggle enemy health bar visibility in combat.",""
"STG_UIOpacity",343984055509007,"","UI不透明度","","UI Opacity",""
"STG_UIOpacity_desc",343984055509008,"","调整用户界面的不透明度。","","Adjusts the user interface opacity.",""
"STG_ATKOpacity",343984055509009,"","攻击不透明度","","Attack Opacity",""
"STG_ATKOpacity_desc",343984055509010,"","调整游戏内攻击和武器效果的不透明度。","","Adjusts the opacity of in-game attacks and weapon effects.",""
"STG_TextSpeed",343984055509011,"","对话速度","","Dialogue Speed",""
"STG_TextSpeed_desc",343984055509012,"","调整文本速度。","","Adjusts the text speed.",""
"STG_TextWait",343984055509013,"","文本等待","","Text Wait",""
"STG_TextWait_desc",343984055509014,"","自动推进对话。","","Automatically advances dialogue.",""
"STG_Master",343984055509015,"","主音量","","Master Volume",""
"STG_Master_desc",343984055509016,"","调整主音量。","","Adjusts the master volume.",""
"STG_BGM",343984055509017,"","音乐音量","","Music Volume",""
"STG_BGM_desc",343984055509018,"","调整音乐音量。","","Adjusts the music volume.",""
"STG_SFX",343984055509019,"","音效音量","","SFX Volume",""
"STG_SFX_desc",343984055509020,"","调整音效音量。","","Adjusts the volume of sound effects.",""
"STG_DLG",343984055509021,"","对话音量","","Dialogue Volume",""
"STG_DLG_desc",343984055509022,"","调整对话音效的音量。","","Adjusts the volume of dialogue sound effects.",""
"STG_VALang",343984055509023,"","对话语言","","Dialogue Language",""
"STG_VALang_desc",343984055509024,"","选择你偏好的对话语言。","","Select your preferred dialogue language.",""
"STG_Ambience",343984055509025,"","环境音量","","Ambience",""
"STG_Ambience_desc",343984055509026,"","调整环境音效的音量。","","Adjusts the volume of ambient sounds.",""
"STG_ScreenID",343984055509027,"","显示屏","","Display Screen",""
"STG_ScreenID_desc",343984055509028,"","选择你要使用的屏幕。","","Select the screen you'd like to use.",""
"STG_ScreenMode",343984055509029,"","显示模式","","Display mode",""
"STG_ScreenMode_desc",343984055509030,"","选择你偏好的显示模式。","","Select your preferred display mode.",""
"STG_Resolution",343984055509031,"","显示分辨率","","Display Resolution",""
"STG_Resolution_desc",343984055509032,"","选择你偏好的游戏分辨率。","","Select your preferred game resolution.",""
"STG_FrameCap",343984055509033,"","帧率限制","","FPS Limit",""
